Tempo(s)	Deformacao(mm)	Forca(N)
 0,016667 	0,00000 	-8,4362 
0,16667 	0,00034524 	-8,4362 
0,21667 	0,00077679 	-8,4362 
0,25000 	0,0011220 	-8,4362 
0,28333 	0,0014673 	-8,4362 
0,33333 	0,0018988 	-8,4362 
0,36667 	0,0022441 	-8,4362 
0,41667 	0,0026756 	-8,4362 
0,45000 	0,0030209 	-8,4362 
0,50000 	0,0034524 	-8,4362 
0,55000 	0,0037976 	-6,7490 
0,60000 	0,0042292 	-8,4362 
0,65000 	0,0046607 	-8,4362 
0,70000 	0,0050060 	-8,4362 
0,78333 	0,0054375 	-8,4362 
0,83333 	0,0057828 	-8,4362 
0,88333 	0,0061280 	-8,4362 
0,93333 	0,0065596 	-6,7490 
0,98333 	0,0069911 	-6,7490 
1,0333 	0,0075090 	-5,0617 
1,0667 	0,0078542 	-3,3745 
1,1000 	0,0081994 	-1,6872 
1,1333 	0,0085447 	0,00000 
1,1833 	0,0089762 	3,3695 
1,2333 	0,0094078 	6,7390 
1,2833 	0,0098393 	10,109 
1,3333 	0,010271 	13,478 
1,3667 	0,010616 	16,848 
1,4167 	0,011048 	21,902 
1,4667 	0,011393 	26,956 
1,5000 	0,011738 	28,641 
1,5500 	0,012170 	35,380 
1,6000 	0,012601 	40,434 
1,6500 	0,013033 	43,804 
1,7000 	0,013378 	50,543 
1,7500 	0,013810 	55,597 
1,8000 	0,014155 	58,966 
1,8333 	0,014500 	62,336 
1,8833 	0,014845 	67,390 
1,9333 	0,015277 	72,444 
1,9833 	0,015622 	77,499 
2,0333 	0,016054 	80,868 
2,0833 	0,016399 	85,923 
2,1333 	0,016830 	89,292 
2,1833 	0,017262 	94,346 
2,2333 	0,017694 	99,401 
2,2667 	0,018039 	102,77 
2,3167 	0,018384 	107,82 
2,3500 	0,018729 	111,19 
2,4000 	0,019161 	116,25 
2,4500 	0,019592 	121,30 
2,5000 	0,020024 	126,36 
2,5500 	0,020369 	131,41 
2,5833 	0,020714 	133,10 
2,6333 	0,021060 	138,15 
2,6833 	0,021491 	141,52 
2,7333 	0,021923 	146,57 
2,7833 	0,022268 	151,63 
2,8167 	0,022613 	155,00 
2,8667 	0,022958 	160,05 
2,9167 	0,023390 	163,42 
2,9667 	0,023822 	168,48 
3,0167 	0,024253 	173,53 
3,0667 	0,024685 	178,58 
3,1167 	0,025116 	183,64 
3,1667 	0,025548 	188,69 
3,2167 	0,025979 	193,75 
3,2667 	0,026411 	198,80 
3,3167 	0,026842 	202,17 
3,3667 	0,027274 	207,22 
3,4167 	0,027706 	212,28 
3,4667 	0,028051 	217,33 
3,5000 	0,028396 	220,70 
3,5500 	0,028741 	225,76 
3,5833 	0,029086 	229,13 
3,6333 	0,029432 	234,18 
3,6667 	0,029777 	235,87 
3,7167 	0,030122 	240,92 
3,7667 	0,030554 	245,97 
3,8167 	0,030899 	251,03 
3,8500 	0,031244 	254,40 
3,9000 	0,031589 	257,77 
3,9333 	0,031935 	262,82 
3,9833 	0,032366 	267,88 
4,0333 	0,032711 	271,25 
4,0667 	0,033057 	276,30 
4,1167 	0,033488 	281,35 
4,1667 	0,033920 	286,41 
4,2167 	0,034351 	291,46 
4,2667 	0,034783 	296,52 
4,3167 	0,035128 	301,57 
4,3667 	0,035560 	306,63 
4,4167 	0,035905 	309,99 
4,4500 	0,036250 	313,36 
4,5000 	0,036595 	318,42 
4,5500 	0,037027 	323,47 
4,6000 	0,037459 	328,53 
4,6500 	0,037804 	333,58 
4,7000 	0,038235 	338,64 
4,7500 	0,038667 	343,69 
4,8000 	0,039098 	348,74 
4,8500 	0,039530 	352,11 
4,8833 	0,039789 	358,85 
4,9167 	0,040134 	360,54 
4,9667 	0,040566 	365,59 
5,0167 	0,040997 	372,33 
5,0667 	0,041429 	375,70 
5,1167 	0,041860 	382,44 
5,1667 	0,042292 	387,49 
5,2167 	0,042637 	392,55 
5,2667 	0,043069 	397,60 
5,3167 	0,043500 	402,66 
5,3667 	0,043845 	407,71 
5,4000 	0,044191 	412,76 
5,4500 	0,044536 	417,82 
5,5000 	0,044968 	422,87 
5,5500 	0,045399 	427,93 
5,6000 	0,045831 	432,98 
5,6500 	0,046262 	438,04 
5,7000 	0,046694 	444,78 
5,7333 	0,047039 	448,14 
5,7833 	0,047470 	453,20 
5,8333 	0,047902 	459,94 
5,8833 	0,048334 	464,99 
5,9333 	0,048765 	470,05 
5,9833 	0,049197 	475,10 
6,0333 	0,049542 	481,84 
6,0833 	0,049973 	485,21 
6,1333 	0,050405 	491,95 
6,1833 	0,050750 	497,00 
6,2167 	0,051096 	500,37 
6,2667 	0,051441 	505,43 
6,3000 	0,051786 	508,80 
6,3500 	0,052131 	515,53 
6,4000 	0,052563 	522,27 
6,4500 	0,052908 	523,96 
6,5000 	0,053340 	530,70 
6,5500 	0,053771 	537,44 
6,5833 	0,054116 	540,81 
6,6333 	0,054462 	545,86 
6,6667 	0,054807 	549,23 
6,7167 	0,055238 	555,97 
6,7667 	0,055670 	561,02 
6,8167 	0,056102 	567,76 
6,8667 	0,056533 	572,82 
6,9333 	0,057051 	581,24 
7,0000 	0,057569 	587,98 
7,0667 	0,058087 	594,72 
7,1333 	0,058604 	601,46 
7,2000 	0,059122 	609,88 
7,2667 	0,059640 	616,62 
7,3333 	0,060158 	623,36 
7,3833 	0,060590 	628,41 
7,4333 	0,061021 	635,15 
7,4833 	0,061453 	640,21 
7,5167 	0,061798 	646,95 
7,5833 	0,062316 	653,68 
7,6333 	0,062747 	658,74 
7,6833 	0,063179 	665,48 
7,7333 	0,063610 	672,22 
7,7833 	0,064042 	677,27 
7,8333 	0,064387 	684,01 
7,8833 	0,064819 	689,06 
7,9333 	0,065250 	695,80 
8,0000 	0,065768 	700,86 
8,0500 	0,066113 	707,60 
8,1000 	0,066545 	712,65 
8,1500 	0,066977 	719,39 
8,2000 	0,067408 	726,13 
8,2667 	0,068012 	734,55 
8,3333 	0,068616 	741,29 
8,3833 	0,069048 	749,72 
8,4500 	0,069652 	758,14 
8,5000 	0,070084 	764,88 
8,5500 	0,070515 	771,62 
8,6167 	0,071033 	780,04 
8,6833 	0,071551 	786,78 
8,7333 	0,071983 	793,52 
8,8000 	0,072500 	801,94 
8,8667 	0,073018 	808,68 
8,9167 	0,073450 	815,42 
8,9833 	0,073968 	822,16 
9,0500 	0,074486 	828,90 
9,1000 	0,074917 	835,64 
9,1500 	0,075349 	842,38 
9,2000 	0,075866 	849,12 
9,2500 	0,076298 	855,86 
9,3000 	0,076730 	862,59 
9,3500 	0,077161 	869,33 
9,4000 	0,077593 	876,07 
9,4667 	0,078111 	884,50 
9,5333 	0,078628 	891,24 
9,5833 	0,079060 	897,97 
9,6333 	0,079405 	904,71 
9,6833 	0,079837 	911,45 
9,7667 	0,080441 	919,88 
9,8167 	0,080872 	926,62 
9,8667 	0,081304 	933,35 
9,9333 	0,081822 	941,78 
9,9833 	0,082253 	948,52 
10,033 	0,082685 	955,26 
10,083 	0,083117 	961,99 
10,133 	0,083634 	968,73 
10,183 	0,084066 	975,47 
10,233 	0,084497 	982,21 
10,283 	0,084929 	988,95 
10,333 	0,085274 	997,37 
10,383 	0,085706 	1004,1 
10,450 	0,086224 	1012,5 
10,500 	0,086655 	1019,3 
10,567 	0,087173 	1026,0 
10,617 	0,087605 	1034,4 
10,667 	0,088036 	1041,2 
10,733 	0,088554 	1049,6 
10,783 	0,088986 	1056,3 
10,833 	0,089417 	1063,1 
10,883 	0,089935 	1069,8 
10,933 	0,090367 	1078,2 
11,000 	0,090884 	1086,7 
11,050 	0,091402 	1093,4 
11,100 	0,091834 	1100,1 
11,150 	0,092265 	1108,6 
11,200 	0,092611 	1115,3 
11,267 	0,093128 	1123,7 
11,317 	0,093560 	1130,5 
11,367 	0,093992 	1137,2 
11,433 	0,094509 	1147,3 
11,500 	0,095114 	1155,7 
11,567 	0,095631 	1162,5 
11,617 	0,095977 	1169,2 
11,667 	0,096408 	1176,0 
11,717 	0,096840 	1182,7 
11,767 	0,097271 	1189,4 
11,817 	0,097703 	1196,2 
11,867 	0,098134 	1204,6 
11,933 	0,098739 	1213,0 
11,983 	0,099084 	1221,4 
12,050 	0,099688 	1229,9 
12,117 	0,10021 	1236,6 
12,167 	0,10055 	1243,3 
12,217 	0,10098 	1250,1 
12,267 	0,10141 	1256,8 
12,317 	0,10176 	1263,6 
12,367 	0,10219 	1270,3 
12,417 	0,10254 	1277,0 
12,483 	0,10305 	1285,5 
12,550 	0,10366 	1293,9 
12,617 	0,10418 	1304,0 
12,700 	0,10495 	1315,8 
12,767 	0,10547 	1325,9 
12,850 	0,10625 	1337,7 
12,933 	0,10694 	1349,5 
13,017 	0,10763 	1361,3 
13,083 	0,10815 	1371,4 
13,167 	0,10884 	1381,5 
13,250 	0,10944 	1391,6 
13,317 	0,11005 	1401,7 
13,400 	0,11074 	1411,8 
13,467 	0,11134 	1423,6 
13,550 	0,11203 	1433,7 
13,617 	0,11263 	1445,5 
13,700 	0,11341 	1457,3 
13,783 	0,11410 	1469,1 
13,867 	0,11479 	1480,9 
13,950 	0,11548 	1491,0 
14,033 	0,11609 	1501,1 
14,117 	0,11678 	1511,2 
14,200 	0,11738 	1523,0 
14,283 	0,11816 	1534,8 
14,350 	0,11876 	1544,9 
14,417 	0,11928 	1555,0 
14,483 	0,11988 	1565,1 
14,567 	0,12058 	1576,9 
14,633 	0,12118 	1587,0 
14,700 	0,12170 	1597,1 
14,783 	0,12239 	1607,3 
14,867 	0,12299 	1619,0 
14,950 	0,12368 	1630,8 
15,033 	0,12437 	1641,0 
15,117 	0,12498 	1652,7 
15,183 	0,12541 	1662,9 
15,250 	0,12610 	1674,6 
15,317 	0,12679 	1686,4 
15,383 	0,12739 	1696,5 
15,450 	0,12800 	1706,7 
15,517 	0,12852 	1716,8 
15,600 	0,12912 	1728,6 
15,700 	0,12998 	1742,0 
15,783 	0,13067 	1755,5 
15,900 	0,13162 	1770,7 
16,000 	0,13249 	1785,8 
16,083 	0,13326 	1799,3 
16,167 	0,13404 	1812,8 
16,250 	0,13473 	1826,3 
16,350 	0,13551 	1839,8 
16,467 	0,13646 	1854,9 
16,567 	0,13732 	1868,4 
16,650 	0,13792 	1881,9 
16,767 	0,13887 	1897,0 
16,867 	0,13974 	1912,2 
16,950 	0,14051 	1925,7 
17,050 	0,14129 	1939,2 
17,133 	0,14207 	1954,3 
17,233 	0,14284 	1967,8 
17,333 	0,14362 	1981,3 
17,433 	0,14448 	1996,4 
17,533 	0,14517 	2009,9 
17,633 	0,14595 	2023,4 
17,733 	0,14690 	2038,6 
17,817 	0,14759 	2052,0 
17,917 	0,14845 	2065,5 
18,000 	0,14914 	2080,7 
18,100 	0,15001 	2095,8 
18,200 	0,15078 	2109,3 
18,300 	0,15165 	2122,8 
18,400 	0,15242 	2136,3 
18,500 	0,15320 	2149,7 
18,583 	0,15398 	2163,2 
18,683 	0,15484 	2180,1 
18,800 	0,15588 	2198,6 
