Tempo(s)	Deformao(mm)	Fora(N)
0,016667 	0,00000 	22,437 
0,066667 	0,0012083 	25,642 
0,083333 	0,0025893 	25,642 
0,10000 	0,0036250 	22,437 
0,11667 	0,0047470 	22,437 
0,13333 	0,0060417 	22,437 
0,15000 	0,0072500 	22,437 
0,16667 	0,0087173 	22,437 
0,18333 	0,010098 	25,642 
0,20000 	0,011652 	25,642 
0,21667 	0,013378 	25,642 
0,23333 	0,015104 	28,847 
0,25000 	0,016658 	28,847 
0,26667 	0,018211 	28,847 
0,28333 	0,019851 	28,847 
0,30000 	0,021577 	32,052 
0,31667 	0,023304 	35,257 
0,33333 	0,024771 	35,257 
0,35000 	0,026325 	41,668 
0,36667 	0,028051 	44,873 
0,38333 	0,029863 	51,284 
0,40000 	0,031417 	57,694 
0,41667 	0,032970 	60,899 
0,43333 	0,034697 	67,310 
0,45000 	0,036423 	73,720 
0,46667 	0,038149 	80,131 
0,48333 	0,039703 	86,541 
0,50000 	0,041342 	89,746 
0,51667 	0,043069 	96,157 
0,53333 	0,044795 	105,77 
0,55000 	0,046348 	112,18 
0,56667 	0,047902 	118,59 
0,58333 	0,049715 	125,00 
0,60000 	0,051441 	131,41 
0,61667 	0,052994 	141,03 
0,63333 	0,054548 	147,44 
0,65000 	0,056360 	153,85 
0,66667 	0,058173 	163,47 
0,68333 	0,059813 	173,08 
0,70000 	0,061366 	182,70 
0,71667 	0,063006 	189,11 
0,73333 	0,064819 	201,93 
0,75000 	0,066459 	211,54 
0,76667 	0,068012 	221,16 
0,78333 	0,069566 	230,78 
0,80000 	0,071378 	240,39 
0,81667 	0,073105 	253,21 
0,83333 	0,074658 	266,03 
0,85000 	0,076212 	278,85 
0,86667 	0,078024 	288,47 
0,88333 	0,079750 	301,29 
0,90000 	0,081477 	314,11 
0,91667 	0,083030 	330,14 
0,93333 	0,084670 	342,96 
0,95000 	0,086483 	352,57 
0,96667 	0,088123 	368,60 
0,98333 	0,089590 	381,42 
1,0000 	0,091316 	397,45 
1,0167 	0,093042 	410,27 
1,0333 	0,094768 	426,29 
1,0500 	0,096322 	439,12 
1,0667 	0,097876 	451,94 
1,0833 	0,099688 	464,76 
1,1000 	0,10150 	480,78 
1,1167 	0,10314 	493,60 
1,1333 	0,10469 	506,43 
1,1500 	0,10642 	522,45 
1,1667 	0,10815 	535,27 
1,1833 	0,10979 	551,30 
1,2000 	0,11134 	567,32 
1,2167 	0,11289 	580,15 
1,2333 	0,11471 	596,17 
1,2500 	0,11643 	612,20 
1,2667 	0,11799 	628,22 
1,2833 	0,11954 	644,25 
1,3000 	0,12135 	660,28 
1,3167 	0,12316 	673,10 
1,3333 	0,12472 	692,33 
1,3500 	0,12627 	708,35 
1,3667 	0,12800 	724,38 
1,3833 	0,12981 	740,41 
1,4000 	0,13145 	756,43 
1,4167 	0,13292 	775,66 
1,4333 	0,13464 	791,69 
1,4500 	0,13637 	807,72 
1,4667 	0,13810 	826,95 
1,4833 	0,13965 	842,97 
1,5000 	0,14129 	862,21 
1,5167 	0,14310 	878,23 
1,5333 	0,14491 	894,26 
1,5500 	0,14647 	913,49 
1,5667 	0,14802 	929,51 
1,5833 	0,14975 	945,54 
1,6000 	0,15156 	961,57 
1,6167 	0,15320 	980,80 
1,6333 	0,15467 	1000,0 
1,6500 	0,15631 	1016,1 
1,6667 	0,15803 	1035,3 
1,6833 	0,15976 	1054,5 
1,7000 	0,16131 	1077,0 
1,7167 	0,16287 	1096,2 
1,7333 	0,16468 	1115,4 
1,7500 	0,16649 	1134,6 
1,7667 	0,16805 	1157,1 
1,7833 	0,16969 	1176,3 
1,8000 	0,17133 	1195,5 
1,8167 	0,17314 	1211,6 
1,8333 	0,17478 	1234,0 
1,8500 	0,17625 	1256,4 
1,8667 	0,17797 	1275,7 
1,8833 	0,17978 	1294,9 
1,9000 	0,18142 	1317,3 
1,9167 	0,18298 	1336,6 
1,9333 	0,18462 	1355,8 
1,9500 	0,18634 	1375,0 
1,9667 	0,18816 	1394,3 
1,9833 	0,18980 	1416,7 
2,0000 	0,19135 	1435,9 
2,0167 	0,19308 	1452,0 
2,0333 	0,19480 	1471,2 
2,0500 	0,19644 	1493,6 
2,0667 	0,19800 	1516,1 
2,0833 	0,19964 	1535,3 
2,1000 	0,20136 	1554,5 
2,1167 	0,20309 	1580,2 
2,1333 	0,20464 	1602,6 
2,1500 	0,20619 	1628,3 
2,1667 	0,20801 	1647,5 
2,1833 	0,20982 	1666,7 
2,2000 	0,21137 	1692,4 
2,2167 	0,21293 	1714,8 
2,2333 	0,21474 	1734,0 
2,2500 	0,21647 	1756,5 
2,2667 	0,21811 	1778,9 
2,2833 	0,21957 	1804,5 
2,3000 	0,22130 	1827,0 
2,3167 	0,22311 	1849,4 
2,3333 	0,22475 	1871,9 
2,3500 	0,22622 	1894,3 
2,3667 	0,22794 	1916,7 
2,3833 	0,22976 	1936,0 
2,4000 	0,23148 	1958,4 
2,4167 	0,23304 	1980,8 
2,4333 	0,23468 	2003,3 
2,4500 	0,23640 	2022,5 
2,4667 	0,23822 	2044,9 
2,4833 	0,23977 	2067,4 
2,5000 	0,24124 	2093,0 
2,5167 	0,24296 	2115,4 
2,5333 	0,24469 	2137,9 
2,5500 	0,24642 	2163,5 
2,5667 	0,24788 	2189,2 
2,5833 	0,24961 	2211,6 
2,6000 	0,25133 	2230,8 
2,6167 	0,25315 	2256,5 
2,6333 	0,25470 	2282,1 
2,6500 	0,25634 	2307,8 
2,6667 	0,25807 	2330,2 
2,6833 	0,25979 	2352,6 
2,7000 	0,26143 	2378,3 
2,7167 	0,26290 	2407,1 
2,7333 	0,26463 	2429,6 
2,7500 	0,26644 	2455,2 
2,7667 	0,26808 	2480,8 
2,7833 	0,26955 	2506,5 
2,8000 	0,27127 	2528,9 
2,8167 	0,27308 	2548,2 
2,8333 	0,27481 	2573,8 
2,8500 	0,27645 	2596,2 
2,8667 	0,27800 	2621,9 
2,8833 	0,27982 	2644,3 
2,9000 	0,28154 	2666,7 
2,9167 	0,28310 	2692,4 
2,9333 	0,28456 	2721,2 
2,9500 	0,28629 	2743,7 
2,9667 	0,28810 	2766,1 
2,9833 	0,28974 	2791,7 
3,0000 	0,29121 	2820,6 
3,0167 	0,29294 	2846,2 
3,0333 	0,29475 	2868,7 
3,0500 	0,29647 	2894,3 
3,0667 	0,29803 	2923,2 
3,0833 	0,29967 	2948,8 
3,1000 	0,30139 	2971,2 
3,1167 	0,30312 	2996,9 
3,1333 	0,30476 	3025,7 
3,1500 	0,30623 	3054,6 
3,1667 	0,30795 	3077,0 
3,1833 	0,30977 	3102,7 
3,2000 	0,31141 	3128,3 
3,2167 	0,31287 	3153,9 
3,2333 	0,31469 	3176,4 
3,2500 	0,31650 	3202,0 
3,2667 	0,31822 	3227,7 
3,2833 	0,31978 	3256,5 
3,3000 	0,32142 	3278,9 
3,3167 	0,32314 	3301,4 
3,3500 	0,32642 	3352,7 
3,3667 	0,32798 	3378,3 
3,3833 	0,32962 	3403,9 
3,4000 	0,33143 	3429,6 
3,4167 	0,33307 	3458,4 
3,4333 	0,33454 	3490,5 
3,4500 	0,33626 	3516,1 
3,4833 	0,33980 	3567,4 
3,5000 	0,34136 	3596,3 
3,5167 	0,34300 	3621,9 
3,5333 	0,34472 	3647,5 
3,5500 	0,34645 	3673,2 
3,5667 	0,34800 	3705,2 
3,5833 	0,34956 	3730,9 
3,6000 	0,35137 	3756,5 
3,6167 	0,35309 	3782,2 
3,6333 	0,35473 	3814,2 
3,6500 	0,35620 	3839,9 
3,6667 	0,35801 	3865,5 
3,7000 	0,36147 	3916,8 
3,7167 	0,36302 	3945,6 
3,7500 	0,36647 	3993,7 
3,7833 	0,36975 	4045,0 
3,8000 	0,37131 	4073,8 
3,8167 	0,37295 	4099,5 
3,8333 	0,37476 	4128,3 
3,8667 	0,37787 	4189,2 
3,9000 	0,38149 	4240,5 
3,9333 	0,38468 	4298,2 
3,9667 	0,38814 	4349,5 
4,0000 	0,39133 	4410,4 
4,0333 	0,39470 	4464,9 
4,0667 	0,39798 	4522,6 
4,1000 	0,40134 	4573,9 
4,1333 	0,40479 	4625,1 
4,1667 	0,40799 	4679,6 
4,2000 	0,41144 	4734,1 
4,2333 	0,41455 	4788,6 
4,2667 	0,41809 	4839,9 
4,2833 	0,41964 	4871,9 
4,3167 	0,42292 	4926,4 
4,3500 	0,42646 	4984,1 
4,3833 	0,42965 	5038,6 
4,4167 	0,43310 	5093,1 
4,4500 	0,43621 	5154,0 
4,4833 	0,43975 	5208,5 
